image_name,true_count,predicted_count,error,abs_error,n_valid,n_partial,n_oversized,processing_time,best_filter,scored_best_filter,threshold_method,cluster_method,kmeans_score,dbscan_score,mask_sum
118.jpg,118,18,-100,100,18,0,0,33.438,gaussian,median,otsu,kmeans,100.553,71.182,142381290
119.jpg,119,18,-101,101,18,0,0,33.447,gaussian,median,otsu,kmeans,103.394,71.528,151237440
120.jpg,120,21,-99,99,11,0,1,34.062,gaussian,median,otsu,kmeans,102.332,71.94,122996955
121.jpg,121,24,-97,97,13,0,1,33.825,gaussian,median,otsu,kmeans,104.756,72.738,128105115
122.jpg,122,25,-97,97,13,0,1,33.377,gaussian,median,otsu,kmeans,105.466,72.629,127357965
123.jpg,123,21,-102,102,21,0,0,33.972,gaussian,median,otsu,kmeans,105.604,73.058,163588365
124.jpg,124,16,-108,108,16,0,0,33.459,gaussian,median,otsu,kmeans,107.105,73.196,126770700
125.jpg,125,21,-104,104,21,0,0,33.402,gaussian,median,otsu,kmeans,108.493,74.237,164156760
126.jpg,126,22,-104,104,22,0,0,33.056,gaussian,median,otsu,kmeans,108.867,73.472,175463460
127.jpg,127,15,-112,112,15,0,0,33.239,gaussian,median,otsu,kmeans,110.308,74.022,158163750
128.jpg,128,14,-114,114,14,0,0,34.1,gaussian,median,otsu,kmeans,110.82,74.659,161162040
129.jpg,129,15,-114,114,15,0,0,33.778,gaussian,median,otsu,kmeans,112.18,74.686,161704425
130.jpg,130,17,-113,113,17,0,0,33.599,gaussian,median,otsu,kmeans,113.026,75.068,168505530
131.jpg,131,15,-116,116,15,0,0,33.889,gaussian,median,otsu,kmeans,113.712,75.451,168100590
132.jpg,132,14,-118,118,14,0,0,33.22,gaussian,median,otsu,kmeans,114.577,74.991,165291510
133.jpg,133,15,-118,118,15,0,0,33.686,gaussian,median,otsu,kmeans,114.996,75.398,171050940
134.jpg,134,13,-121,121,13,0,0,33.968,gaussian,median,otsu,kmeans,116.08,75.331,174408780
135.jpg,135,21,-114,114,10,0,1,34.023,gaussian,median,otsu,kmeans,114.091,76.069,122672850
136.jpg,136,22,-114,114,10,0,1,35.05,gaussian,median,otsu,kmeans,122.526,77.007,148567590
137.jpg,137,22,-115,115,13,0,1,34.99,gaussian,median,otsu,kmeans,122.978,77.329,150330660
138.jpg,138,21,-117,117,12,0,1,35.17,gaussian,median,otsu,kmeans,124.181,77.44,152588175
139.jpg,139,26,-113,113,16,0,1,34.438,gaussian,median,otsu,kmeans,123.261,77.408,251720700
140.jpg,140,26,-114,114,16,0,1,33.329,gaussian,median,otsu,kmeans,120.758,76.742,194966370
141.jpg,141,24,-117,117,14,0,1,34.654,gaussian,median,otsu,kmeans,126.025,77.616,145716435
142.jpg,142,27,-115,115,18,0,1,33.554,gaussian,median,otsu,kmeans,123.821,77.109,209312670
143.jpg,143,25,-118,118,16,0,1,33.969,gaussian,median,otsu,kmeans,125.06,77.473,239245590
144.jpg,144,25,-119,119,16,0,1,34.287,gaussian,median,otsu,kmeans,125.188,77.569,236913615
